FEATURE1,FEATURE2,FEATURE3,FEATURE4,FEATURE5,FEATURE6,FEATURE7,FEATURE8,FEATURE9,FEATURE10,FEATURE11,FEATURE12,FEATURE13,FEATURE14,FEATURE15,FEATURE16,FEATURE17,FEATURE18,FEATURE19,FEATURE20,FEATURE21,FEATURE22,FEATURE23,FEATURE24,FEATURE25,FEATURE26,FEATURE27,FEATURE28
1,58,24,1,0,0,0,0,0,2,0,18,258,0,0,0,0,0,0,0,0,100,1200,2,0,0,0,1
1,47,22,0,0,0,1,1,1,1,0,20,352,0,1,0,1,0,0,0,1,70,900,1,0,0,1,0
1,65,27,0,0,0,0,0,0,2,0,16,199,0,0,0,0,0,1,0,1,70,900,2,0,0,0,1
1,63,25,0,0,0,1,2,1,1,0,12,122,0,0,0,0,0,1,0,1,60,800,2,0,0,1,0
2,63,26,0,0,0,0,0,0,2,0,15,175,0,0,0,0,0,0,0,1,100,1200,1,0,1,0,1
1,39,21,0,0,0,0,0,0,1,0,15,171,0,0,0,0,0,0,0,0,100,1200,2,0,0,1,0
1,33,28,0,1,0,0,0,0,2,0,20,342,0,0,0,0,0,1,0,0,50,700,2,0,0,0,1
1,40,26,0,0,0,0,0,0,1,0,20,358,0,0,0,0,0,1,0,0,50,700,1,0,0,1,0
1,52,28,1,0,0,0,0,0,2,0,21,395,0,0,0,0,0,0,0,0,90,1100,2,0,0,0,1
1,34,23,0,0,0,1,0,0,3,1,12,113,1,1,1,1,1,1,1,0,40,800,2,1,0,1,1
2,50,28,1,1,0,0,0,0,2,0,17,220,0,0,0,0,0,1,0,0,70,900,2,0,1,0,1
1,44,28,0,0,0,0,0,0,1,0,20,363,0,0,1,0,0,0,0,0,90,1100,1,0,0,1,0
1,50,24,0,0,0,1,2,1,2,0,14,161,0,0,0,0,0,1,0,0,100,1200,1,0,0,0,1
1,55,24,0,0,0,1,0,0,1,0,13,129,0,0,0,0,0,1,0,1,80,1000,2,0,0,1,0
